"from","to","length","directed"
"M34","M156",1,FALSE
"M157","M397",1,FALSE
"M143","M157",1,FALSE
"M158","M390",1,FALSE
"M34","M158",1,FALSE
"M159","M365",1,FALSE
"M12","M159",1,FALSE
"M102","M160",1,FALSE
"M148","M160",1,FALSE
"M161","M391",1,FALSE
"M119","M161",1,FALSE
"M162","M382",1,FALSE
"M162","M386",1,FALSE
"M12","M163",1,FALSE
"M132","M163",1,FALSE
"M7","M164",1,FALSE
"M151","M164",1,FALSE
"M165","M387",1,FALSE
"M77","M165",1,FALSE
"M166","M336",1,FALSE
"M166","M328",1,FALSE
"M167","M338",1,FALSE
"M167","M394",1,FALSE
"M9","M168",1,FALSE
"M168","M397",1,FALSE
"M169","M367",1,FALSE
"M170","M398",1,FALSE
"M171","M399",1,FALSE
"M172","M400",1,FALSE
"M173","M401",1,FALSE
"M174","M402",1,FALSE
"M171","M175",1,FALSE
"M176","M403",1,FALSE
"M176","M404",1,FALSE
"M177","M405",1,FALSE
"M177","M406",1,FALSE
"M178","M407",1,FALSE
"M178","M402",1,FALSE
"M179","M408",1,FALSE
"M180","M409",1,FALSE
"M181","M409",1,FALSE
"M181","M408",1,FALSE
"M182","M410",1,FALSE
"M183","M410",1,FALSE
"M184","M411",1,FALSE
"M185","M404",1,FALSE
"M186","M412",1,FALSE
"M187","M413",1,FALSE
"M188","M414",1,FALSE
"M170","M189",1,FALSE
"M190","M415",1,FALSE
"M191","M416",1,FALSE
"M192","M407",1,FALSE
"M183","M193",1,FALSE
"M193","M417",1,FALSE
"M194","M418",1,FALSE
"M195","M419",1,FALSE
"M196","M420",1,FALSE
"M197","M417",1,FALSE
"M198","M421",1,FALSE
"M198","M422",1,FALSE
"M199","M423",1,FALSE
"M200","M412",1,FALSE
"M200","M424",1,FALSE
"M201","M425",1,FALSE
"M202","M426",1,FALSE
"M203","M427",1,FALSE
"M204","M428",1,FALSE
"M204","M422",1,FALSE
"M205","M429",1,FALSE
"M199","M206",1,FALSE
"M201","M206",1,FALSE
"M207","M430",1,FALSE
"M207","M431",1,FALSE
"M169","M208",1,FALSE
"M209","M423",1,FALSE
"M209","M432",1,FALSE
"M210","M433",1,FALSE
"M211","M400",1,FALSE
"M212","M419",1,FALSE
"M213","M434",1,FALSE
"M214","M405",1,FALSE
"M215","M435",1,FALSE
"M216","M421",1,FALSE
"M194","M216",1,FALSE
"M217","M436",1,FALSE
"M182","M218",1,FALSE
"M205","M218",1,FALSE
"M219","M437",1,FALSE
"M196","M220",1,FALSE
"M214","M220",1,FALSE
"M221","M438",1,FALSE
"M186","M221",1,FALSE
"M215","M222",1,FALSE
"M223","M398",1,FALSE
"M212","M224",1,FALSE
"M225","M439",1,FALSE
"M225","M440",1,FALSE
"M226","M430",1,FALSE
"M197","M227",1,FALSE
"M210","M227",1,FALSE
"M228","M434",1,FALSE
"M175","M229",1,FALSE
"M211","M229",1,FALSE
"M230","M439",1,FALSE
"M231","M428",1,FALSE
"M232","M441",1,FALSE
"M233","M439",1,FALSE
"M174","M233",1,FALSE
"M234","M442",1,FALSE
"M234","M443",1,FALSE
"M235","M444",1,FALSE
"M236","M445",1,FALSE
"M237","M446",1,FALSE
"M237","M447",1,FALSE
"M238","M448",1,FALSE
"M239","M438",1,FALSE
"M239","M429",1,FALSE
"M217","M240",1,FALSE
"M241","M436",1,FALSE
"M236","M241",1,FALSE
"M179","M242",1,FALSE
"M228","M243",1,FALSE
"M244","M420",1,FALSE
"M222","M244",1,FALSE
"M245","M445",1,FALSE
"M172","M245",1,FALSE
"M246","M449",1,FALSE
"M247","M450",1,FALSE
"M213","M247",1,FALSE
"M184","M248",1,FALSE
"M248","M451",1,FALSE
"M249","M452",1,FALSE
"M249","M453",1,FALSE
"M250","M448",1,FALSE
"M251","M454",1,FALSE
"M202","M251",1,FALSE
"M252","M455",1,FALSE
"M252","M453",1,FALSE
"M253","M454",1,FALSE
"M253","M433",1,FALSE
"M188","M254",1,FALSE
"M254","M456",1,FALSE
"M255","M457",1,FALSE
"M256","M452",1,FALSE
"M256","M441",1,FALSE
"M228","M257",1,FALSE
"M250","M258",1,FALSE
"M259","M444",1,FALSE
"M259","M404",1,FALSE
"M260","M455",1,FALSE
"M260","M458",1,FALSE
"M230","M261",1,FALSE
"M262","M415",1,FALSE
"M246","M263",1,FALSE
"M264","M459",1,FALSE
"M255","M264",1,FALSE
"M238","M265",1,FALSE
"M266","M460",1,FALSE
"M266","M461",1,FALSE
"M267","M456",1,FALSE
"M231","M267",1,FALSE
"M268","M418",1,FALSE
"M268","M432",1,FALSE
"M269","M462",1,FALSE
"M269","M414",1,FALSE
"M232","M270",1,FALSE
"M271","M443",1,FALSE
"M195","M272",1,FALSE
"M273","M463",1,FALSE
"M273","M437",1,FALSE
"M274","M462",1,FALSE
"M274","M442",1,FALSE
"M240","M275",1,FALSE
"M270","M275",1,FALSE
"M258","M276",1,FALSE
"M271","M276",1,FALSE
"M277","M399",1,FALSE
"M277","M403",1,FALSE
"M278","M447",1,FALSE
"M261","M279",1,FALSE
"M278","M279",1,FALSE
"M280","M460",1,FALSE
"M280","M464",1,FALSE
"M281","M427",1,FALSE
"M262","M281",1,FALSE
"M282","M465",1,FALSE
"M283","M449",1,FALSE
"M283","M406",1,FALSE
"M190","M284",1,FALSE
"M284","M461",1,FALSE
"M180","M285",1,FALSE
"M285","M466",1,FALSE
"M286","M467",1,FALSE
"M219","M286",1,FALSE
"M224","M287",1,FALSE
"M265","M287",1,FALSE
"M272","M288",1,FALSE
"M289","M450",1,FALSE
"M289","M464",1,FALSE
"M235","M290",1,FALSE
"M291","M425",1,FALSE
"M292","M465",1,FALSE
"M195","M292",1,FALSE
"M293","M466",1,FALSE
"M293","M468",1,FALSE
"M294","M425",1,FALSE
"M294","M469",1,FALSE
"M203","M295",1,FALSE
"M226","M295",1,FALSE
"M208","M296",1,FALSE
"M297","M463",1,FALSE
"M290","M297",1,FALSE
"M298","M413",1,FALSE
"M298","M468",1,FALSE
"M223","M299",1,FALSE
"M291","M299",1,FALSE
"M189","M300",1,FALSE
"M301","M470",1,FALSE
"M301","M467",1,FALSE
"M302","M424",1,FALSE
"M296","M302",1,FALSE
"M303","M437",1,FALSE
"M303","M459",1,FALSE
"M304","M470",1,FALSE
"M304","M451",1,FALSE
"M305","M435",1,FALSE
"M257","M305",1,FALSE
"M306","M431",1,FALSE
"M306","M446",1,FALSE
"M307","M471",1,FALSE
"M307","M464",1,FALSE
"M308","M440",1,FALSE
"M300","M308",1,FALSE
"M309","M471",1,FALSE
"M309","M458",1,FALSE
"M224","M310",1,FALSE
"M242","M310",1,FALSE
"M311","M426",1,FALSE
"M263","M311",1,FALSE
"M312","M416",1,FALSE
"M282","M312",1,FALSE
"M180","M313",1,FALSE
"M173","M314",1,FALSE
"M187","M314",1,FALSE
