"comp_1","comp_2","milestone_id"
2.62615800787295,11.9003480986304,"M1"
-11.044524381712,-0.565620300878563,"M2"
-8.47286712355214,2.55389880561534,"M3"
3.40973749362203,11.1650708647635,"M5"
2.37390956003622,11.6540563299381,"M6"
-10.605677320677,-0.971272301249882,"M7"
3.54504563362969,10.5384170123097,"M9"
3.07628323500875,13.128442609321,"M10"
-5.00851343918467,2.79305915360217,"M11"
-8.04452339020127,-2.00265758623582,"M12"
-8.7336284821697,-1.29126452585945,"M13"
-10.3250811987771,1.56407367127981,"M14"
3.5584958683421,10.3318634949805,"M15"
-10.0450271123649,-0.63306584549054,"M16"
3.47146166067431,9.17303043275158,"M17"
-9.03492200942899,3.15703889337679,"M18"
-9.53463234203386,-1.3291247456819,"M19"
3.56037889369001,9.66534697445395,"M20"
3.13393995896288,12.5193168227787,"M21"
-9.30736342308787,2.54233258406555,"M22"
-1.4036885743585,5.83769743925945,"M23"
-0.805994298912767,6.19741282219259,"M24"
-7.61114967193032,-1.58710825533313,"M26"
-8.49252240778007,2.9901072201554,"M27"
2.99739985875398,8.21983803589492,"M28"
-9.40929603113554,3.04340962552258,"M29"
3.04881462451791,13.500829212705,"M30"
0.61627108584184,6.93937294743271,"M31"
3.17610130240901,12.0772267876159,"M32"
-6.997202855297,1.52410099287056,"M34"
2.05096046690648,12.0252717689121,"M35"
-0.329754323795163,6.59818741230873,"M36"
-1.20272845324091,6.36474353414521,"M37"
-7.9046226107318,2.46301380892674,"M38"
-7.63959780615684,-3.0485211989215,"M39"
3.36728339852827,11.2519027522939,"M25"
-7.61273990065736,2.56000692311407,"M41"
3.54816689767884,10.2074388719935,"M42"
2.77802531265808,12.0258042195146,"M4"
2.86983078540022,12.1783936834181,"M43"
3.34945640829652,11.4383721373125,"M44"
3.38135343169541,11.3400590295482,"M40"
-7.57351035012474,2.43057864096863,"M45"
-10.9081005678718,0.789030599575692,"M46"
-10.1861322515341,0.590142635483603,"M47"
-6.26707893802186,-3.7730994426758,"M49"
-7.21503304735576,1.03947762296894,"M50"
-7.79163979061391,-3.1750452502725,"M51"
-1.36909762808441,6.04670051709078,"M52"
1.53005733517477,7.26413455501813,"M53"
-7.56195860777236,-2.86992301712397,"M54"
-9.46113485201218,2.22493984198249,"M55"
2.84905010364321,8.06690170665562,"M56"
-6.44518568175227,-3.49702041887053,"M57"
-10.1579768879573,0.974221715941369,"M58"
-7.74463105115787,-2.60126181350356,"M59"
3.10486326798657,13.259214321467,"M60"
3.04739941537425,13.9813494326181,"M61"
-10.4883946643138,1.30416329184723,"M62"
4.58157894842901,8.44984533406502,"M63"
3.15013688763974,12.2548907677756,"M64"
-10.7584857557362,0.0259703869299924,"M65"
-0.718827967205566,6.37197849196816,"M66"
-8.15772678330231,2.44031868732047,"M67"
-7.67095923095134,0.588322186064716,"M68"
-10.9385462511962,-0.0967333148950014,"M69"
-10.5575081701485,1.11324318922615,"M70"
-5.55263844897892,-3.8804908583245,"M71"
-0.0649045512289508,6.70376548416121,"M72"
-10.2021996304447,2.05245119835419,"M73"
0.887645902925567,7.03163955112291,"M74"
2.35525953266799,7.63748749733617,"M75"
2.59487815276116,7.84905959315194,"M76"
-9.69507568194343,-0.671451681056831,"M79"
-8.24926212050177,2.58338688185119,"M80"
-3.40200165572502,3.82297846266968,"M81"
-11.1759452864833,-0.22136704920863,"M82"
3.60305195568101,9.92224274536524,"M83"
3.09612147016637,12.6229902280491,"M84"
-10.842717606313,0.258758692857893,"M86"
-0.63965579204449,6.50080927013053,"M88"
3.49480241675493,8.92687504895308,"M90"
-8.5571148461359,-1.46365675853188,"M91"
-2.50565608140045,5.18266251511795,"M92"
-5.922057339786,-3.96507474831666,"M94"
-7.43077083425307,-0.723192686063703,"M95"
-10.264544079742,1.7124470097479,"M48"
-9.30884948467637,-1.62023637093835,"M97"
1.95861809428452,7.45337642696155,"M98"
-10.7434790044356,0.496311944267597,"M100"
-7.40945741733619,0.19214109854079,"M101"
-2.51653642423258,4.8109076732767,"M102"
-9.72845601939624,-0.914972221121276,"M103"
-7.28911885169763,0.536689153848637,"M105"
-7.90488551441979,0.433998406651596,"M106"
-9.32701818546998,-1.23380722769365,"M99"
3.44826411618653,11.0044877205432,"M109"
-11.1762802098604,-0.407866196592619,"M110"
-9.19575669917334,3.18438276888315,"M33"
-8.47562758772642,-1.87740029508838,"M113"
-5.81176933091449,2.27809949906842,"M114"
-0.991294971545956,6.22636800687445,"M115"
-7.33079015229456,-1.31165390263699,"M116"
3.0696066153065,12.8334755378671,"M118"
-7.37807513290211,1.95455223467737,"M120"
3.19457964522293,11.9542409793371,"M85"
-10.3077949581818,-0.642865783396515,"M123"
-1.73782081315116,5.50495260016782,"M126"
-10.9232155423838,1.07230097176263,"M127"
-8.93236274072181,-1.18766378733375,"M130"
-9.1015575235425,-1.21048034094338,"M108"
3.14479928145331,12.342397525636,"M131"
-7.83657949421031,-1.71508288302914,"M132"
-9.87504421173296,2.27228957001084,"M133"
-9.72313638325779,1.94376186389753,"M134"
-9.66045616566136,2.07014213182303,"M135"
-9.3635240570425,2.69417536150528,"M137"
3.04771055841506,13.9929194212234,"M87"
-6.88958638143294,1.08112554938321,"M139"
3.24364073740522,11.6975451939056,"M140"
3.19653582459695,11.8349958286839,"M122"
-7.20269151449699,0.131773546574865,"M141"
-8.47601072591853,2.85960513754528,"M112"
3.4975820978319,10.8223609150713,"M143"
1.71984877550574,12.2911345333978,"M145"
3.03287891545575,13.6195912756546,"M78"
-9.57760637779911,2.27632739665595,"M147"
