"from","to","length","directed"
"M151","M335",1,FALSE
"M158","M335",1,FALSE
"M145","M336",1,FALSE
"M148","M336",1,FALSE
"M146","M337",1,FALSE
"M151","M337",1,FALSE
"M148","M338",1,FALSE
"M153","M338",1,FALSE
"M149","M339",1,FALSE
"M150","M339",1,FALSE
"M156","M340",1,FALSE
"M159","M340",1,FALSE
"M157","M341",1,FALSE
"M159","M341",1,FALSE
"M160","M342",1,FALSE
"M162","M342",1,FALSE
"M161","M343",1,FALSE
"M163","M343",1,FALSE
"M165","M166",1,FALSE
"M166","M169",1,FALSE
"M164","M170",1,FALSE
"M168","M172",1,FALSE
"M171","M173",1,FALSE
"M169","M176",1,FALSE
"M177","M179",1,FALSE
"M170","M180",1,FALSE
"M178","M180",1,FALSE
"M183","M187",1,FALSE
"M182","M191",1,FALSE
"M184","M192",1,FALSE
"M181","M193",1,FALSE
"M194","M195",1,FALSE
"M193","M197",1,FALSE
"M194","M200",1,FALSE
"M197","M201",1,FALSE
"M199","M203",1,FALSE
"M198","M204",1,FALSE
"M195","M209",1,FALSE
"M196","M210",1,FALSE
"M204","M210",1,FALSE
"M207","M213",1,FALSE
"M206","M214",1,FALSE
"M211","M214",1,FALSE
"M208","M216",1,FALSE
"M212","M216",1,FALSE
"M188","M218",1,FALSE
"M205","M219",1,FALSE
"M164","M344",1,FALSE
"M171","M344",1,FALSE
"M165","M345",1,FALSE
"M167","M345",1,FALSE
"M167","M346",1,FALSE
"M168","M346",1,FALSE
"M168","M347",1,FALSE
"M177","M347",1,FALSE
"M172","M348",1,FALSE
"M183","M348",1,FALSE
"M173","M349",1,FALSE
"M176","M349",1,FALSE
"M174","M350",1,FALSE
"M179","M350",1,FALSE
"M174","M351",1,FALSE
"M175","M351",1,FALSE
"M178","M352",1,FALSE
"M181","M352",1,FALSE
"M182","M353",1,FALSE
"M187","M353",1,FALSE
"M184","M354",1,FALSE
"M185","M354",1,FALSE
"M185","M355",1,FALSE
"M186","M356",1,FALSE
"M190","M356",1,FALSE
"M186","M357",1,FALSE
"M189","M357",1,FALSE
"M188","M358",1,FALSE
"M192","M358",1,FALSE
"M189","M359",1,FALSE
"M218","M359",1,FALSE
"M191","M360",1,FALSE
"M218","M360",1,FALSE
"M194","M361",1,FALSE
"M217","M361",1,FALSE
"M196","M362",1,FALSE
"M202","M362",1,FALSE
"M198","M363",1,FALSE
"M200","M363",1,FALSE
"M199","M364",1,FALSE
"M209","M364",1,FALSE
"M201","M365",1,FALSE
"M202","M365",1,FALSE
"M203","M366",1,FALSE
"M206","M366",1,FALSE
"M205","M367",1,FALSE
"M211","M367",1,FALSE
"M207","M368",1,FALSE
"M220","M368",1,FALSE
"M208","M369",1,FALSE
"M215","M369",1,FALSE
"M212","M370",1,FALSE
"M219","M370",1,FALSE
"M213","M371",1,FALSE
"M215","M371",1,FALSE
"M217","M372",1,FALSE
"M220","M372",1,FALSE
"M222","M224",1,FALSE
"M223","M224",1,FALSE
"M221","M225",1,FALSE
"M226","M227",1,FALSE
"M227","M229",1,FALSE
"M230","M231",1,FALSE
"M228","M232",1,FALSE
"M232","M236",1,FALSE
"M234","M237",1,FALSE
"M238","M240",1,FALSE
"M242","M244",1,FALSE
"M237","M245",1,FALSE
"M246","M247",1,FALSE
"M225","M249",1,FALSE
"M250","M251",1,FALSE
"M247","M252",1,FALSE
"M236","M254",1,FALSE
"M221","M373",1,FALSE
"M222","M373",1,FALSE
"M223","M374",1,FALSE
"M226","M375",1,FALSE
"M228","M375",1,FALSE
"M229","M376",1,FALSE
"M231","M376",1,FALSE
"M230","M377",1,FALSE
"M233","M377",1,FALSE
"M234","M378",1,FALSE
"M239","M378",1,FALSE
"M235","M379",1,FALSE
"M253","M379",1,FALSE
"M235","M380",1,FALSE
"M248","M380",1,FALSE
"M238","M381",1,FALSE
"M241","M381",1,FALSE
"M240","M382",1,FALSE
"M254","M382",1,FALSE
"M241","M383",1,FALSE
"M246","M383",1,FALSE
"M248","M383",1,FALSE
"M242","M384",1,FALSE
"M243","M384",1,FALSE
"M243","M385",1,FALSE
"M251","M385",1,FALSE
"M244","M386",1,FALSE
"M253","M386",1,FALSE
"M245","M387",1,FALSE
"M250","M387",1,FALSE
"M249","M388",1,FALSE
"M252","M388",1,FALSE
